date,tmax,tmin,tavg,departure,HDD,CDD,precipitation,new_snow,snow_depth
1/1/19,60,40,50,13.9,15,0,0.08,0,0
2/1/19,41,35,38,2.1,27,0,0,0,0
3/1/19,45,39,42,6.3,23,0,T,0,0
4/1/19,47,37,42,6.5,23,0,0,0,0
5/1/19,47,42,44.5,9.1,20,0,0.45,0,0
6/1/19,49,32,40.5,5.3,24,0,T,0,0
7/1/19,35,26,30.5,-4.5,34,0,0,0,0
8/1/19,47,35,41,6.1,24,0,0.21,0,0
9/1/19,46,35,40.5,5.8,24,0,0.07,0,0
10/1/19,35,30,32.5,-2.1,32,0,0,0,0
11/1/19,32,22,27,-7.5,38,0,0,0,0
12/1/19,34,21,27.5,-6.9,37,0,0,0,0
13/1/19,33,25,29,-5.2,36,0,T,T,T
14/1/19,35,22,28.5,-5.7,36,0,0,0,0
15/1/19,36,26,31,-3.1,34,0,0,0,0
16/1/19,40,31,35.5,1.5,29,0,0,0,0
17/1/19,34,26,30,-3.9,35,0,0,0,0
18/1/19,42,29,35.5,1.6,29,0,0.03,0.4,T
19/1/19,39,32,35.5,1.7,29,0,0.34,T,0
20/1/19,40,16,28,-5.8,37,0,1,T,0
21/1/19,16,5,10.5,-23.3,54,0,0,0,0
22/1/19,31,14,22.5,-11.3,42,0,0,0,0
23/1/19,47,30,38.5,4.7,26,0,T,0,0
24/1/19,57,35,46,12.2,19,0,1.48,0,0
25/1/19,40,29,34.5,0.7,30,0,0,0,0
26/1/19,35,25,30,-3.8,35,0,0,0,0
27/1/19,49,29,39,5.1,26,0,0,0,0
28/1/19,39,25,32,-1.9,33,0,0,0,0
29/1/19,44,25,34.5,0.5,30,0,0.27,T,0
30/1/19,36,7,21.5,-12.6,43,0,T,0.2,0
31/1/19,17,3,10,-24.1,55,0,0,0,0
1/2/19,22,12,17,-17.2,48,0,0,0,0
2/2/19,35,18,26.5,-7.8,38,0,0,0,0
3/2/19,52,31,41.5,7.1,23,0,0,0,0
4/2/19,59,36,47.5,12.9,17,0,0,0,0
5/2/19,65,36,50.5,15.8,14,0,0,0,0
6/2/19,46,35,40.5,5.7,24,0,0.47,0,0
7/2/19,44,37,40.5,5.6,24,0,0.11,0,0
8/2/19,55,33,44,8.9,21,0,0.37,0,0
9/2/19,33,24,28.5,-6.7,36,0,0,0,0
10/2/19,36,24,30,-5.4,35,0,0,0,0
11/2/19,37,31,34,-1.6,31,0,0,0,0
12/2/19,35,26,30.5,-5.2,34,0,0.7,1.5,0
13/2/19,42,33,37.5,1.6,27,0,0.06,T,1
14/2/19,46,33,39.5,3.4,25,0,0,0,0
15/2/19,56,41,48.5,12.2,16,0,0,0,0
16/2/19,46,32,39,2.6,26,0,0,0,0
17/2/19,37,26,31.5,-5.1,33,0,0.04,0,0
18/2/19,42,26,34,-2.8,31,0,0.1,0,0
19/2/19,36,24,30,-7,35,0,0,0,0
20/2/19,32,26,29,-8.2,36,0,0.59,1.4,0
21/2/19,52,32,42,4.6,23,0,0.14,T,T
22/2/19,43,37,40,2.4,25,0,0,0,0
23/2/19,39,32,35.5,-2.3,29,0,T,0,0
24/2/19,47,35,41,3,24,0,0.73,0,0
25/2/19,43,28,35.5,-2.7,29,0,T,0,0
26/2/19,37,25,31,-7.4,34,0,0,0,0
27/2/19,29,23,26,-12.7,39,0,0,0,0
28/2/19,36,26,31,-7.9,34,0,0.03,0.1,T
1/3/19,36,25,30.5,-8.6,34,0,0.1,1.2,1
2/3/19,41,30,35.5,-3.8,29,0,0.45,3.8,3
3/3/19,43,32,37.5,-2.1,27,0,0.51,2.5,T
4/3/19,39,28,33.5,-6.3,31,0,0.35,2.3,4
5/3/19,32,21,26.5,-13.5,38,0,0,0,2
6/3/19,27,19,23,-17.3,42,0,0,0,T
7/3/19,33,19,26,-14.5,39,0,T,T,T
8/3/19,38,24,31,-9.7,34,0,0,0,0
9/3/19,47,34,40.5,-0.5,24,0,0,0,0
10/3/19,44,34,39,-2.2,26,0,0.66,0.1,T
11/3/19,53,39,46,4.5,19,0,0,0,0
12/3/19,43,34,38.5,-3.2,26,0,0,0,0
13/3/19,46,32,39,-3,26,0,0,0,0
14/3/19,57,41,49,6.7,16,0,0,0,0
15/3/19,72,48,60,17.4,5,0,0.27,0,0
16/3/19,59,37,48,5.2,17,0,0,0,0
17/3/19,45,34,39.5,-3.6,25,0,0,0,0
18/3/19,46,33,39.5,-3.9,25,0,0,0,0
19/3/19,49,36,42.5,-1.2,22,0,0,0,0
20/3/19,51,37,44,0,21,0,0,0,0
21/3/19,45,40,42.5,-1.8,22,0,0.69,0,0
22/3/19,49,38,43.5,-1.1,21,0,0.53,0,0
23/3/19,48,35,41.5,-3.5,23,0,T,T,0
24/3/19,60,38,49,3.7,16,0,0,0,0
25/3/19,58,42,50,4.4,15,0,T,0,0
26/3/19,48,33,40.5,-5.5,24,0,0,0,0
27/3/19,44,34,39,-7.3,26,0,0,0,0
28/3/19,51,37,44,-2.7,21,0,T,0,0
29/3/19,59,47,53,6,12,0,T,0,0
30/3/19,65,46,55.5,8.1,9,0,0,0,0
31/3/19,60,39,49.5,1.8,15,0,0.08,0,0
1/4/19,46,33,39.5,-8.6,25,0,0,0,0
2/4/19,50,37,43.5,-5,21,0,T,0,0
3/4/19,67,41,54,5.1,11,0,T,0,0
4/4/19,59,44,51.5,2.3,13,0,0,0,0
5/4/19,45,39,42,-7.6,23,0,0.23,0,0
6/4/19,66,39,52.5,2.5,12,0,T,0,0
7/4/19,63,47,55,4.6,10,0,T,0,0
8/4/19,79,47,63,12.2,2,0,0.25,0,0
9/4/19,50,43,46.5,-4.7,18,0,0.02,0,0
10/4/19,58,44,51,-0.6,14,0,0,0,0
11/4/19,52,40,46,-6,19,0,0,0,0
12/4/19,66,45,55.5,3.1,9,0,0.48,0,0
13/4/19,75,58,66.5,13.7,0,2,0.28,0,0
14/4/19,70,56,63,9.9,2,0,T,0,0
15/4/19,62,45,53.5,0,11,0,0.78,0,0
16/4/19,64,44,54,0.1,11,0,T,0,0
17/4/19,61,47,54,-0.3,11,0,0.01,0,0
18/4/19,63,50,56.5,1.8,8,0,T,0,0
19/4/19,76,55,65.5,10.4,0,1,0.1,0,0
20/4/19,63,54,58.5,3.1,6,0,0.58,0,0
21/4/19,64,51,57.5,1.7,7,0,T,0,0
22/4/19,60,49,54.5,-1.7,10,0,0.29,0,0
23/4/19,75,54,64.5,8,0,0,0.1,0,0
24/4/19,68,54,61,4.1,4,0,0.01,0,0
25/4/19,63,49,56,-1.2,9,0,0.01,0,0
26/4/19,61,50,55.5,-2.1,9,0,1.1,0,0
27/4/19,57,48,52.5,-5.4,12,0,0.11,0,0
28/4/19,52,46,49,-9.3,16,0,T,0,0
29/4/19,59,44,51.5,-7.1,13,0,0.02,0,0
30/4/19,57,48,52.5,-6.4,12,0,0.05,0,0
1/5/19,55,48,51.5,-7.8,13,0,0.01,0,0
2/5/19,71,47,59,-0.6,6,0,T,0,0
3/5/19,52,48,50,-9.9,15,0,0.13,0,0
4/5/19,68,50,59,-1.2,6,0,0.06,0,0
5/5/19,54,49,51.5,-9,13,0,1.33,0,0
6/5/19,67,49,58,-2.8,7,0,T,0,0
7/5/19,65,51,58,-3.1,7,0,0.06,0,0
8/5/19,68,54,61,-0.4,4,0,0,0,0
9/5/19,61,52,56.5,-5.2,8,0,0,0,0
10/5/19,73,56,64.5,2.5,0,0,0.04,0,0
11/5/19,70,57,63.5,1.2,1,0,0.01,0,0
12/5/19,59,44,51.5,-11.1,13,0,1.22,0,0
13/5/19,50,42,46,-16.9,19,0,0.59,0,0
14/5/19,52,44,48,-15.1,17,0,0.2,0,0
15/5/19,69,47,58,-5.4,7,0,0.02,0,0
16/5/19,73,55,64,0.3,1,0,0.09,0,0
17/5/19,78,63,70.5,6.5,0,6,0.03,0,0
18/5/19,75,59,67,2.7,0,2,0,0,0
19/5/19,76,60,68,3.4,0,3,0.03,0,0
20/5/19,89,65,77,12.1,0,12,0,0,0
